Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,6,2,.750,—,6,2,97.9,89.9
Boston Celtics,6,2,.750,—,5,3,97.4,94.9
Orlando Magic,6,3,.667,0.5,6,3,106.3,101.0
Philadelphia 76ers,5,3,.625,1.0,5,3,96.9,94.0
Washington Wizards,5,4,.556,1.5,6,3,94.1,89.0
Miami Heat,1,5,.167,4.0,2,4,85.3,91.0
New York Knicks,1,7,.125,5.0,2,6,90.6,99.8
Indiana Pacers,6,1,.857,—,6,1,94.6,85.1
Detroit Pistons,6,2,.750,0.5,5,3,86.0,82.6
New Orleans Hornets,6,2,.750,0.5,5,3,95.1,90.5
Milwaukee Bucks,4,3,.571,2.0,4,3,101.0,99.4
Atlanta Hawks,4,4,.500,2.5,4,4,97.1,96.6
Toronto Raptors,3,4,.429,3.0,2,5,88.9,96.4
Chicago Bulls,3,5,.375,3.5,2,6,92.1,98.5
Cleveland Cavaliers,2,7,.222,5.0,2,7,85.0,93.8
Dallas Mavericks,8,0,1.000,—,7,1,105.3,89.6
Houston Rockets,4,2,.667,3.0,4,2,91.2,88.7
San Antonio Spurs,5,4,.556,3.5,5,4,90.6,88.2
Minnesota Timberwolves,4,5,.444,4.5,3,6,92.4,96.6
Utah Jazz,3,6,.333,5.5,4,5,93.8,96.6
Denver Nuggets,2,5,.286,5.5,2,5,79.0,83.6
Memphis Grizzlies,0,8,.000,8.0,1,7,93.4,104.0
Seattle SuperSonics,6,2,.750,—,6,2,94.3,88.5
Sacramento Kings,6,3,.667,0.5,7,2,100.6,91.9
Phoenix Suns,4,3,.571,1.5,3,4,81.4,82.3
Los Angeles Clippers,3,5,.375,3.0,3,5,94.4,98.1
Portland Trail Blazers,3,6,.333,3.5,3,6,85.3,89.1
Los Angeles Lakers,2,6,.250,4.0,3,5,90.6,94.9
Golden State Warriors,2,7,.222,4.5,3,6,97.0,103.4
