Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,44,30,.595,—,44,30,104.1,101.2
Boston Celtics,33,41,.446,11.0,35,39,100.9,101.6
Brooklyn Nets,32,40,.444,11.0,28,44,97.5,100.6
Philadelphia 76ers,18,57,.240,26.5,16,59,91.6,100.5
New York Knicks,14,60,.189,30.0,15,59,91.8,101.4
Cleveland Cavaliers,48,27,.640,—,50,25,103.3,98.5
Chicago Bulls,45,29,.608,2.5,44,30,101.1,98.4
Milwaukee Bucks,36,38,.486,11.5,37,37,97.7,97.7
Indiana Pacers,32,41,.438,15.0,36,37,96.9,97.3
Detroit Pistons,28,45,.384,19.0,33,40,98.4,99.7
Atlanta Hawks,56,18,.757,—,50,24,102.4,97.1
Washington Wizards,41,33,.554,15.0,38,36,98.3,97.8
Miami Heat,34,39,.466,21.5,31,42,94.7,96.8
Charlotte Hornets,31,42,.425,24.5,31,42,95.1,97.4
Orlando Magic,22,52,.297,34.0,22,52,95.9,102.1
Portland Trail Blazers,48,25,.658,—,48,25,102.6,97.9
Oklahoma City Thunder,42,32,.568,6.5,43,31,103.3,100.8
Utah Jazz,33,41,.446,15.5,37,37,94.8,94.9
Denver Nuggets,28,46,.378,20.5,29,45,100.5,103.8
Minnesota Timberwolves,16,58,.216,32.5,18,56,97.7,106.0
Golden State Warriors,60,13,.822,—,59,14,109.8,98.9
Los Angeles Clippers,49,25,.662,11.5,52,22,106.6,100.3
Phoenix Suns,38,37,.507,23.0,37,38,103.5,103.6
Sacramento Kings,26,47,.356,34.0,27,46,100.9,104.8
Los Angeles Lakers,20,53,.274,40.0,23,50,98.9,104.7
Memphis Grizzlies,51,24,.680,—,46,29,98.6,95.5
Houston Rockets,50,24,.676,0.5,45,29,103.3,100.1
San Antonio Spurs,47,26,.644,3.0,49,24,102.7,97.4
Dallas Mavericks,45,29,.608,5.5,45,29,104.1,100.9
New Orleans Pelicans,39,34,.534,11.0,38,35,99.4,98.6
