Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,27,10,.730,—,27,10,100.9,93.6
Toronto Raptors,19,20,.487,9.0,17,22,103.3,105.3
New York Knicks,16,22,.421,11.5,17,21,101.0,102.3
Philadelphia 76ers,12,26,.316,15.5,15,23,97.9,101.3
New Jersey Nets,3,35,.079,24.5,6,32,89.7,101.4
Cleveland Cavaliers,30,10,.750,—,29,11,101.0,94.3
Chicago Bulls,16,20,.444,12.0,13,23,93.6,97.3
Milwaukee Bucks,15,21,.417,13.0,16,20,97.3,98.6
Indiana Pacers,13,25,.342,16.0,12,26,98.8,104.1
Detroit Pistons,12,25,.324,16.5,11,26,91.7,97.1
Orlando Magic,26,13,.667,—,26,13,101.6,96.3
Atlanta Hawks,25,13,.658,0.5,26,12,103.2,97.4
Miami Heat,19,18,.514,6.0,18,19,97.2,97.4
Charlotte Bobcats,17,19,.472,7.5,18,18,92.9,92.9
Washington Wizards,12,25,.324,13.0,13,24,98.8,102.9
Denver Nuggets,25,14,.641,—,26,13,107.0,101.7
Portland Trail Blazers,24,16,.600,1.5,25,15,97.7,94.4
Oklahoma City Thunder,21,17,.553,3.5,22,16,98.8,96.4
Utah Jazz,21,17,.553,3.5,24,14,100.3,96.8
Minnesota Timberwolves,8,32,.200,17.5,8,32,96.5,106.1
Los Angeles Lakers,30,9,.769,—,28,11,103.1,96.8
Phoenix Suns,24,15,.615,6.0,23,16,109.9,106.9
Los Angeles Clippers,17,20,.459,12.0,16,21,96.3,98.4
Sacramento Kings,15,22,.405,14.0,16,21,103.4,105.7
Golden State Warriors,11,26,.297,18.0,13,24,107.4,111.9
Dallas Mavericks,25,13,.658,—,23,15,100.6,97.8
San Antonio Spurs,24,13,.649,0.5,26,11,102.2,95.7
Houston Rockets,22,17,.564,3.5,20,19,100.5,100.0
New Orleans Hornets,20,17,.541,4.5,16,21,98.5,100.0
Memphis Grizzlies,19,18,.514,5.5,17,20,103.2,104.1
