Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,6,8,.429,—,8,6,97.9,96.9
Philadelphia 76ers,6,9,.400,0.5,5,10,103.7,109.3
Boston Celtics,6,10,.375,1.0,5,11,92.9,97.4
Brooklyn Nets,4,10,.286,2.0,4,10,95.9,102.8
New York Knicks,3,10,.231,2.5,4,9,93.2,99.4
Indiana Pacers,13,1,.929,—,11,3,97.2,87.4
Chicago Bulls,6,7,.462,6.5,6,7,91.8,92.8
Detroit Pistons,6,8,.429,7.0,7,7,99.4,100.0
Cleveland Cavaliers,4,10,.286,9.0,3,11,93.2,101.6
Milwaukee Bucks,2,11,.154,10.5,2,11,89.8,100.2
Miami Heat,11,3,.786,—,11,3,106.6,96.9
Atlanta Hawks,8,7,.533,3.5,8,7,100.2,98.9
Charlotte Bobcats,7,8,.467,4.5,6,9,89.4,91.9
Washington Wizards,6,8,.429,5.0,6,8,100.3,102.0
Orlando Magic,5,9,.357,6.0,6,8,99.6,101.0
Portland Trail Blazers,13,2,.867,—,11,4,103.9,97.6
Oklahoma City Thunder,9,3,.750,2.5,8,4,103.5,98.8
Minnesota Timberwolves,8,8,.500,5.5,11,5,105.4,99.9
Denver Nuggets,7,6,.538,5.0,7,6,104.1,103.0
Utah Jazz,2,14,.125,11.5,3,13,88.5,99.2
Los Angeles Clippers,10,5,.667,—,10,5,107.9,103.3
Golden State Warriors,9,6,.600,1.0,10,5,101.7,97.5
Phoenix Suns,7,7,.500,2.5,8,6,99.5,98.3
Los Angeles Lakers,7,8,.467,3.0,6,9,100.4,102.9
Sacramento Kings,4,9,.308,5.0,5,8,95.8,99.5
San Antonio Spurs,13,1,.929,—,12,2,102.1,90.1
Houston Rockets,10,5,.667,3.5,10,5,108.7,104.3
Dallas Mavericks,9,6,.600,4.5,8,7,105.7,103.7
Memphis Grizzlies,7,7,.500,6.0,6,8,93.5,96.1
New Orleans Pelicans,6,8,.429,7.0,7,7,100.7,100.0
