Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,47,12,.797,—,48,11,100.1,90.4
Toronto Raptors,33,27,.550,14.5,39,21,100.1,96.0
Philadelphia 76ers,28,33,.459,20.0,30,31,95.7,95.7
New Jersey Nets,26,35,.426,22.0,20,41,94.0,98.9
New York Knicks,18,43,.295,30.0,18,43,95.2,101.6
Detroit Pistons,44,17,.721,—,46,15,98.0,90.3
Cleveland Cavaliers,35,27,.565,9.5,30,32,97.4,97.9
Chicago Bulls,25,36,.410,19.0,25,36,96.1,98.5
Indiana Pacers,24,38,.387,20.5,26,36,103.0,105.5
Milwaukee Bucks,23,38,.377,21.0,18,43,95.9,102.2
Orlando Magic,40,23,.635,—,41,22,104.6,100.1
Washington Wizards,29,31,.483,9.5,29,31,97.9,98.4
Atlanta Hawks,25,35,.417,13.5,24,36,95.9,98.7
Charlotte Bobcats,22,39,.361,17.0,20,41,96.1,101.1
Miami Heat,11,48,.186,27.0,15,44,93.6,101.0
Utah Jazz,40,22,.645,—,43,19,105.5,99.6
Denver Nuggets,36,24,.600,3.0,36,24,107.6,104.8
Portland Trail Blazers,31,30,.508,8.5,29,32,95.3,96.2
Seattle SuperSonics,16,45,.262,23.5,16,45,97.1,104.5
Minnesota Timberwolves,12,48,.200,27.0,15,45,93.3,101.1
Los Angeles Lakers,43,18,.705,—,44,17,108.0,100.8
Phoenix Suns,40,21,.656,3.0,39,22,109.3,105.0
Golden State Warriors,37,23,.617,5.5,35,25,110.5,108.0
Sacramento Kings,27,34,.443,16.0,26,35,101.4,103.8
Los Angeles Clippers,20,39,.339,22.0,19,40,94.0,99.3
San Antonio Spurs,43,17,.717,—,42,18,96.1,90.6
New Orleans Hornets,41,19,.683,2.0,41,19,100.3,95.1
Houston Rockets,41,20,.672,2.5,41,20,97.3,92.3
Dallas Mavericks,39,23,.629,5.0,39,23,99.6,96.1
Memphis Grizzlies,15,46,.246,28.5,18,43,99.5,105.6
