Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,26,14,.650,—,27,13,106.8,101.5
Brooklyn Nets,17,24,.415,9.5,17,24,95.6,97.8
Boston Celtics,13,25,.342,12.0,17,21,102.3,104.2
Philadelphia 76ers,8,32,.200,18.0,6,34,90.4,102.6
New York Knicks,5,36,.122,21.5,9,32,92.5,101.7
Chicago Bulls,27,15,.643,—,25,17,102.3,99.5
Milwaukee Bucks,21,19,.525,5.0,22,18,98.5,97.3
Cleveland Cavaliers,21,20,.512,5.5,20,21,100.7,100.7
Detroit Pistons,16,25,.390,10.5,18,23,97.9,99.6
Indiana Pacers,15,27,.357,12.0,18,24,94.9,96.6
Atlanta Hawks,33,8,.805,—,29,12,103.3,96.6
Washington Wizards,28,13,.683,5.0,23,18,99.2,97.4
Miami Heat,18,22,.450,14.5,15,25,93.5,97.2
Charlotte Hornets,16,25,.390,17.0,17,24,95.5,98.2
Orlando Magic,15,29,.341,19.5,13,31,95.0,100.7
Portland Trail Blazers,30,11,.732,—,29,12,103.2,97.0
Oklahoma City Thunder,20,20,.500,9.5,22,18,100.2,98.8
Denver Nuggets,18,22,.450,11.5,18,22,102.3,103.8
Utah Jazz,14,27,.341,16.0,16,25,95.5,98.9
Minnesota Timberwolves,7,32,.179,22.0,9,30,98.9,108.1
Golden State Warriors,32,6,.842,—,31,7,110.0,99.1
Los Angeles Clippers,27,14,.659,6.5,29,12,106.9,100.7
Phoenix Suns,24,18,.571,10.0,24,18,107.0,104.7
Sacramento Kings,16,24,.400,17.0,17,23,101.9,103.9
Los Angeles Lakers,12,29,.293,21.5,12,29,100.4,106.5
Memphis Grizzlies,29,11,.725,—,26,14,101.9,97.9
Houston Rockets,28,13,.683,1.5,26,15,102.4,98.4
Dallas Mavericks,28,13,.683,1.5,28,13,108.5,102.5
San Antonio Spurs,26,16,.619,4.0,27,15,101.8,97.6
New Orleans Pelicans,20,20,.500,9.0,20,20,100.7,100.5
