Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Toronto Raptors,37,28,.569,—,40,25,100.5,97.2
Brooklyn Nets,34,31,.523,3.0,30,35,97.6,98.8
New York Knicks,27,40,.403,11.0,31,36,98.9,100.1
Boston Celtics,22,46,.324,16.5,24,44,95.4,99.4
Philadelphia 76ers,15,52,.224,23.0,12,55,99.2,110.7
Indiana Pacers,50,17,.746,—,48,19,98.8,92.2
Chicago Bulls,37,30,.552,13.0,36,31,93.3,92.3
Cleveland Cavaliers,26,41,.388,24.0,23,44,97.0,101.5
Detroit Pistons,25,41,.379,24.5,26,40,100.7,103.7
Milwaukee Bucks,13,54,.194,37.0,16,51,94.5,102.7
Miami Heat,45,19,.703,—,43,21,104.1,98.7
Washington Wizards,35,31,.530,11.0,35,31,100.5,99.8
Charlotte Bobcats,33,35,.485,14.0,30,38,95.7,97.1
Atlanta Hawks,30,35,.462,15.5,31,34,101.5,102.1
Orlando Magic,19,48,.284,27.5,22,45,97.1,102.3
Oklahoma City Thunder,49,18,.731,—,48,19,105.7,99.1
Portland Trail Blazers,43,24,.642,6.0,43,24,107.4,103.1
Minnesota Timberwolves,33,32,.508,15.0,40,25,106.1,102.5
Denver Nuggets,30,37,.448,19.0,29,38,103.6,105.5
Utah Jazz,22,46,.324,27.5,19,49,94.8,101.4
Los Angeles Clippers,48,21,.696,—,50,19,107.5,100.3
Golden State Warriors,42,26,.618,5.5,44,24,103.5,98.9
Phoenix Suns,38,29,.567,9.0,39,28,105.3,103.0
Sacramento Kings,23,44,.343,24.0,28,39,101.1,103.5
Los Angeles Lakers,22,44,.333,24.5,19,47,101.8,108.4
San Antonio Spurs,50,16,.758,—,48,18,105.1,97.8
Houston Rockets,45,22,.672,5.5,44,23,106.4,101.7
Dallas Mavericks,41,27,.603,10.0,39,29,104.1,101.8
Memphis Grizzlies,39,27,.591,11.0,36,30,95.8,94.6
New Orleans Pelicans,27,39,.409,23.0,27,39,99.8,102.3
