Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,38,22,.633,—,44,16,96.4,89.8
Philadelphia 76ers,34,25,.576,3.5,33,26,96.4,94.8
Boston Celtics,34,26,.567,4.0,30,30,94.1,94.2
Orlando Magic,31,30,.508,7.5,30,31,97.9,98.1
Washington Wizards,29,30,.492,8.5,29,30,91.8,91.9
New York Knicks,25,34,.424,12.5,25,34,95.2,97.1
Miami Heat,20,39,.339,17.5,20,39,85.5,89.5
Indiana Pacers,38,21,.644,—,37,22,97.3,93.8
Detroit Pistons,37,23,.617,1.5,39,21,90.2,86.3
New Orleans Hornets,35,27,.565,4.5,35,27,94.6,92.8
Milwaukee Bucks,29,30,.492,9.0,29,30,98.7,98.7
Atlanta Hawks,22,38,.367,16.5,20,40,93.2,97.7
Chicago Bulls,21,41,.339,18.5,20,42,93.4,98.3
Toronto Raptors,18,38,.321,18.5,17,39,89.9,95.5
Cleveland Cavaliers,11,48,.186,27.0,10,49,90.9,101.6
Dallas Mavericks,45,14,.763,—,47,12,103.1,93.9
San Antonio Spurs,41,17,.707,3.5,39,19,94.5,89.6
Minnesota Timberwolves,40,21,.656,6.0,36,25,98.0,95.7
Utah Jazz,34,25,.576,11.0,37,22,95.6,92.1
Houston Rockets,30,29,.508,15.0,32,27,93.2,91.9
Memphis Grizzlies,18,41,.305,27.0,20,39,96.5,101.4
Denver Nuggets,12,48,.200,33.5,12,48,82.3,90.9
Sacramento Kings,42,19,.689,—,44,17,101.0,94.5
Portland Trail Blazers,39,20,.661,2.0,36,23,95.4,92.3
Los Angeles Lakers,32,26,.552,8.5,32,26,98.8,97.2
Phoenix Suns,31,28,.525,10.0,30,29,95.1,94.8
Golden State Warriors,29,30,.492,12.0,29,30,100.9,101.1
Seattle SuperSonics,27,31,.466,13.5,28,30,91.9,92.4
Los Angeles Clippers,19,40,.322,22.0,21,38,93.0,97.2
