Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Cleveland Cavaliers,44,18,.710,—,43,19,103.2,97.2
Toronto Raptors,42,20,.677,2.0,40,22,102.7,98.3
Boston Celtics,38,26,.594,7.0,41,23,106.1,102.0
Miami Heat,37,26,.587,7.5,34,29,98.0,96.9
Atlanta Hawks,36,28,.563,9.0,39,25,102.2,99.2
Charlotte Hornets,34,28,.548,10.0,35,27,102.4,100.5
Indiana Pacers,34,30,.531,11.0,36,28,102.2,100.4
Chicago Bulls,32,30,.516,12.0,29,33,101.6,102.5
Detroit Pistons,32,31,.508,12.5,34,29,101.7,100.5
Washington Wizards,30,33,.476,14.5,28,35,102.7,104.5
Orlando Magic,27,36,.429,17.5,28,35,100.8,102.5
Milwaukee Bucks,26,38,.406,19.0,23,41,99.2,103.2
New York Knicks,26,39,.400,19.5,26,39,98.9,101.6
Brooklyn Nets,18,46,.281,27.0,18,46,97.8,104.3
Philadelphia 76ers,8,55,.127,36.5,12,51,96.5,107.2
Golden State Warriors,56,6,.903,—,49,13,115.1,104.4
San Antonio Spurs,54,10,.844,3.0,55,9,104.7,92.3
Oklahoma City Thunder,43,20,.683,13.5,45,18,110.0,103.2
Los Angeles Clippers,41,21,.661,15.0,41,21,104.9,100.1
Memphis Grizzlies,38,25,.603,18.5,31,32,99.2,99.5
Portland Trail Blazers,34,31,.523,23.5,34,31,103.8,102.9
Dallas Mavericks,33,31,.516,24.0,31,33,102.4,102.7
Houston Rockets,31,32,.492,25.5,29,34,105.6,106.9
Utah Jazz,29,34,.460,27.5,33,30,97.7,97.1
Denver Nuggets,26,38,.406,31.0,26,38,101.7,104.3
Sacramento Kings,25,37,.403,31.0,26,36,106.9,109.4
New Orleans Pelicans,24,38,.387,32.0,25,37,102.5,105.5
Minnesota Timberwolves,20,45,.308,37.5,23,42,101.4,105.7
Phoenix Suns,17,46,.270,39.5,18,45,100.6,107.4
Los Angeles Lakers,14,51,.215,43.5,15,50,97.9,106.9
