Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,29,13,.690,—,28,14,96.0,91.6
Boston Celtics,25,16,.610,3.5,25,16,96.0,93.3
Orlando Magic,23,21,.523,7.0,27,17,100.4,97.2
Washington Wizards,20,20,.500,8.0,18,22,90.7,92.0
Philadelphia 76ers,20,21,.488,8.5,22,19,90.0,88.8
New York Knicks,16,25,.390,12.5,15,26,89.4,93.1
Miami Heat,14,27,.341,14.5,15,26,85.3,88.9
Milwaukee Bucks,26,15,.634,—,23,18,97.6,96.0
Toronto Raptors,24,19,.558,3.0,22,21,92.2,92.0
Indiana Pacers,22,22,.500,5.5,22,22,97.0,97.1
Detroit Pistons,20,20,.500,5.5,21,19,93.9,93.3
Charlotte Hornets,20,21,.488,6.0,20,21,94.5,94.9
Atlanta Hawks,14,27,.341,12.0,12,29,94.8,100.6
Cleveland Cavaliers,13,29,.310,13.5,13,29,91.6,97.0
Chicago Bulls,8,33,.195,18.0,8,33,85.1,94.6
Dallas Mavericks,31,12,.721,—,27,16,103.9,99.8
Minnesota Timberwolves,30,11,.732,—,29,12,101.8,95.7
San Antonio Spurs,28,12,.700,1.5,28,12,98.6,92.8
Utah Jazz,22,21,.512,9.0,22,21,96.3,95.8
Denver Nuggets,13,29,.310,17.5,14,28,92.9,97.5
Houston Rockets,13,30,.302,18.0,14,29,91.9,96.4
Memphis Grizzlies,12,30,.286,18.5,10,32,90.5,98.5
Sacramento Kings,32,10,.762,—,31,11,104.0,96.5
Los Angeles Lakers,28,11,.718,2.5,30,9,101.4,92.6
Portland Trail Blazers,22,20,.524,10.0,24,18,95.4,93.3
Seattle SuperSonics,22,20,.524,10.0,23,19,97.9,96.7
Los Angeles Clippers,22,21,.512,10.5,22,21,95.0,95.0
Phoenix Suns,21,21,.500,11.0,23,19,98.2,97.0
Golden State Warriors,14,27,.341,17.5,14,27,95.3,99.5
