Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,11,2,.846,—,10,3,112.6,104.2
Milwaukee Bucks,10,3,.769,1.0,10,3,118.5,109.0
Miami Heat,9,3,.750,1.5,9,3,111.2,104.0
Toronto Raptors,9,4,.692,2.0,9,4,113.3,106.1
Philadelphia 76ers,8,5,.615,3.0,8,5,109.8,106.7
Indiana Pacers,8,6,.571,3.5,9,5,107.4,103.1
Orlando Magic,6,7,.462,5.0,7,6,102.2,101.5
Charlotte Hornets,6,8,.429,5.5,4,10,105.9,113.6
Brooklyn Nets,5,8,.385,6.0,5,8,114.5,118.5
Atlanta Hawks,4,9,.308,7.0,3,10,106.1,115.5
Detroit Pistons,4,9,.308,7.0,5,8,108.7,112.2
Cleveland Cavaliers,4,9,.308,7.0,5,8,104.5,108.8
Chicago Bulls,4,10,.286,7.5,5,9,107.2,111.3
New York Knicks,4,10,.286,7.5,4,10,101.8,108.9
Washington Wizards,3,8,.273,7.0,5,6,118.0,120.1
Los Angeles Lakers,11,2,.846,—,10,3,110.8,100.6
Houston Rockets,11,3,.786,0.5,9,5,119.5,113.7
Denver Nuggets,9,3,.750,1.5,8,4,106.9,102.9
Los Angeles Clippers,9,5,.643,2.5,10,4,112.8,106.6
Dallas Mavericks,8,5,.615,3.0,8,5,114.1,110.8
Utah Jazz,8,5,.615,3.0,8,5,104.5,101.1
Minnesota Timberwolves,8,6,.571,3.5,6,8,115.9,117.3
Phoenix Suns,7,5,.583,3.5,8,4,114.9,109.6
Sacramento Kings,5,7,.417,5.5,4,8,104.4,108.4
Memphis Grizzlies,5,8,.385,6.0,3,10,110.1,118.8
Oklahoma City Thunder,5,8,.385,6.0,6,7,105.6,105.8
Portland Trail Blazers,5,9,.357,6.5,6,8,112.5,115.4
San Antonio Spurs,5,9,.357,6.5,6,8,112.2,114.6
New Orleans Pelicans,4,9,.308,7.0,5,8,115.7,120.0
Golden State Warriors,2,12,.143,9.5,3,11,108.8,119.0
