Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Atlanta Hawks,7,1,.875,—,5,3,103.9,98.3
Cleveland Cavaliers,5,1,.833,1.0,5,1,102.3,92.2
Toronto Raptors,5,1,.833,1.0,5,1,102.8,95.0
Detroit Pistons,4,1,.800,1.5,3,2,95.6,92.2
Milwaukee Bucks,4,3,.571,2.5,3,4,97.7,101.0
Chicago Bulls,4,3,.571,2.5,3,4,100.0,101.4
Miami Heat,3,3,.500,3.0,4,2,96.7,92.8
Indiana Pacers,3,3,.500,3.0,2,4,93.7,97.0
Washington Wizards,3,3,.500,3.0,2,4,102.5,108.0
Orlando Magic,3,4,.429,3.5,4,3,103.4,102.3
Boston Celtics,2,3,.400,3.5,3,2,103.6,100.2
Charlotte Hornets,2,4,.333,4.0,3,3,102.0,101.3
New York Knicks,2,4,.333,4.0,3,3,100.3,101.3
Philadelphia 76ers,0,6,.000,6.0,1,5,92.0,103.7
Brooklyn Nets,0,7,.000,6.5,1,6,90.4,102.9
Golden State Warriors,7,0,1.000,—,6,1,115.7,97.4
San Antonio Spurs,4,2,.667,2.5,5,1,101.7,92.3
Los Angeles Clippers,4,2,.667,2.5,4,2,107.3,103.0
Portland Trail Blazers,4,2,.667,2.5,4,2,103.8,99.0
Utah Jazz,4,2,.667,2.5,5,1,93.3,85.0
Minnesota Timberwolves,3,2,.600,3.0,3,2,98.8,96.8
Houston Rockets,4,3,.571,3.0,2,5,102.9,108.6
Oklahoma City Thunder,3,3,.500,3.5,4,2,111.5,108.7
Dallas Mavericks,3,3,.500,3.5,3,3,99.0,100.0
Phoenix Suns,3,3,.500,3.5,4,2,102.0,98.7
Memphis Grizzlies,3,4,.429,4.0,1,6,90.9,101.7
Denver Nuggets,2,4,.333,4.5,2,4,97.3,103.5
Los Angeles Lakers,1,4,.200,5.0,1,4,106.2,113.0
Sacramento Kings,1,6,.143,6.0,2,5,105.0,111.3
New Orleans Pelicans,0,6,.000,6.5,1,5,102.7,114.7
