Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
New Jersey Nets,8,4,.667,—,8,4,95.2,89.5
Philadelphia 76ers,8,4,.667,—,8,4,96.8,92.9
Boston Celtics,7,4,.636,0.5,6,5,95.1,94.5
Orlando Magic,7,6,.538,1.5,7,6,102.5,102.1
Washington Wizards,6,5,.545,1.5,8,3,93.3,87.8
New York Knicks,2,8,.200,5.0,3,7,91.1,98.2
Miami Heat,2,8,.200,5.0,2,8,82.6,90.6
Indiana Pacers,9,1,.900,—,8,2,96.9,89.2
Detroit Pistons,9,3,.750,1.0,9,3,84.8,79.3
New Orleans Hornets,8,3,.727,1.5,7,4,95.2,90.7
Atlanta Hawks,6,5,.545,3.5,6,5,97.8,95.5
Milwaukee Bucks,5,5,.500,4.0,6,4,100.4,98.1
Toronto Raptors,4,7,.364,5.5,3,8,88.3,95.5
Chicago Bulls,4,8,.333,6.0,4,8,93.9,99.8
Cleveland Cavaliers,2,10,.167,8.0,2,10,83.3,94.6
Dallas Mavericks,12,0,1.000,—,11,1,103.0,87.8
San Antonio Spurs,8,4,.667,4.0,8,4,92.0,86.4
Houston Rockets,6,4,.600,5.0,6,4,91.4,89.2
Minnesota Timberwolves,7,6,.538,5.5,6,7,95.8,97.7
Utah Jazz,6,7,.462,6.5,7,6,92.0,91.4
Denver Nuggets,2,9,.182,9.5,2,9,76.6,85.3
Memphis Grizzlies,0,12,.000,12.0,2,10,94.1,103.9
Sacramento Kings,9,4,.692,—,9,4,100.5,94.2
Seattle SuperSonics,8,4,.667,0.5,8,4,93.2,89.4
Portland Trail Blazers,6,6,.500,2.5,6,6,88.9,88.3
Phoenix Suns,5,4,.556,2.0,3,6,81.6,84.7
Los Angeles Clippers,4,8,.333,4.5,4,8,92.4,96.9
Golden State Warriors,4,9,.308,5.0,6,7,98.9,100.9
Los Angeles Lakers,3,9,.250,5.5,4,8,89.2,94.5
