Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,7,2,.778,—,7,2,102.8,93.8
Detroit Pistons,7,3,.700,0.5,6,4,104.8,101.2
Orlando Magic,6,3,.667,1.0,6,3,111.3,106.6
Toronto Raptors,5,3,.625,1.5,6,2,109.3,102.3
Philadelphia 76ers,5,4,.556,2.0,4,5,107.7,108.6
Indiana Pacers,5,4,.556,2.0,5,4,111.3,109.2
Charlotte Hornets,5,4,.556,2.0,5,4,105.2,104.3
Washington Wizards,4,4,.500,2.5,5,3,113.5,110.9
New York Knicks,4,4,.500,2.5,4,4,104.3,105.4
Cleveland Cavaliers,4,5,.444,3.0,3,6,107.8,113.0
Milwaukee Bucks,4,5,.444,3.0,4,5,103.9,107.0
Miami Heat,3,5,.375,3.5,4,4,103.5,105.1
Brooklyn Nets,3,6,.333,4.0,3,6,114.3,119.3
Chicago Bulls,2,6,.250,4.5,2,6,91.9,98.3
Atlanta Hawks,1,8,.111,6.0,2,7,101.1,110.1
Houston Rockets,7,3,.700,—,6,4,107.2,102.6
Golden State Warriors,7,3,.700,—,8,2,120.7,111.3
Minnesota Timberwolves,6,3,.667,0.5,4,5,109.1,111.6
Memphis Grizzlies,6,3,.667,0.5,6,3,101.8,97.1
Los Angeles Clippers,5,3,.625,1.0,6,2,108.4,101.8
Portland Trail Blazers,5,4,.556,1.5,6,3,107.7,101.1
San Antonio Spurs,5,4,.556,1.5,4,5,98.6,100.6
Utah Jazz,5,4,.556,1.5,5,4,98.1,96.0
New Orleans Pelicans,5,5,.500,2.0,5,5,105.2,105.6
Denver Nuggets,5,5,.500,2.0,5,5,106.0,106.3
Oklahoma City Thunder,4,4,.500,2.0,6,2,105.0,96.4
Los Angeles Lakers,4,5,.444,2.5,4,5,106.4,107.9
Phoenix Suns,4,5,.444,2.5,2,7,107.3,117.0
Sacramento Kings,1,8,.111,5.5,1,8,93.8,105.8
Dallas Mavericks,1,10,.091,6.5,2,9,97.9,107.8
