Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Boston Celtics,50,16,.758,—,51,15,101.3,92.7
Philadelphia 76ers,32,31,.508,16.5,33,30,96.8,96.3
New Jersey Nets,28,37,.431,21.5,27,38,98.8,101.1
New York Knicks,28,37,.431,21.5,29,36,106.3,108.0
Toronto Raptors,23,43,.348,27.0,24,42,97.7,101.5
Cleveland Cavaliers,52,13,.800,—,51,14,100.4,91.2
Detroit Pistons,33,31,.516,18.5,31,33,93.8,94.3
Milwaukee Bucks,30,38,.441,23.5,32,36,99.7,100.4
Chicago Bulls,29,37,.439,23.5,29,37,100.9,102.5
Indiana Pacers,28,39,.418,25.0,29,38,104.5,106.4
Orlando Magic,48,17,.738,—,48,17,102.2,95.1
Atlanta Hawks,38,28,.576,10.5,37,29,98.1,96.6
Miami Heat,35,29,.547,12.5,32,32,98.2,98.2
Charlotte Bobcats,28,37,.431,20.0,29,36,93.0,94.6
Washington Wizards,15,51,.227,33.5,17,49,94.8,102.4
Portland Trail Blazers,41,24,.631,—,41,24,99.1,95.2
Utah Jazz,41,24,.631,—,41,24,103.1,99.1
Denver Nuggets,41,25,.621,0.5,38,28,102.7,100.3
Minnesota Timberwolves,19,46,.292,22.0,23,42,98.8,103.4
Oklahoma City Thunder,18,47,.277,23.0,21,44,97.9,103.4
Los Angeles Lakers,52,13,.800,—,48,17,108.3,100.4
Phoenix Suns,34,31,.523,18.0,35,30,107.5,106.2
Golden State Warriors,23,42,.354,29.0,26,39,108.1,111.5
Los Angeles Clippers,15,49,.234,36.5,15,49,94.8,103.5
Sacramento Kings,14,51,.215,38.0,15,50,99.8,108.5
San Antonio Spurs,43,21,.672,—,41,23,97.5,93.5
Houston Rockets,43,24,.642,1.5,42,25,98.7,94.9
New Orleans Hornets,41,23,.641,2.0,39,25,96.4,93.4
Dallas Mavericks,40,26,.606,4.0,36,30,101.4,99.9
Memphis Grizzlies,16,48,.250,27.0,18,46,93.4,99.8
